model,shift,severity,domain,auroc,binary_accuracy,fpr_at_tpr90,ece,latency_median_s,latency_iqr_lo,latency_iqr_hi,detection_rate,holdout_accuracy,n_train,n_test,status
CUSUM,rate_decrease,0.3,B,0.0000,0.0000,1.0000,0.8867,,,,0.0000,0.0000,0,27,ok
RF,rate_decrease,0.3,A,0.9993,0.9867,1.0000,0.0332,,,,0.0000,0.7778,75,75,ok
RF,rate_decrease,0.3,B,0.9944,0.7778,1.0000,0.2463,,,,0.0000,0.7778,75,27,ok
CUSUM,rate_decrease,0.6,A,0.0000,0.0000,1.0000,0.9681,,,,0.0000,0.0000,75,75,ok
CUSUM,rate_decrease,0.6,B,0.0000,0.0000,1.0000,0.9192,,,,0.0000,0.0000,0,27,ok
RF,rate_decrease,0.6,A,0.9993,0.9867,1.0000,0.0332,,,,0.0000,0.7778,75,75,ok
RF,rate_decrease,0.6,B,0.9139,0.5556,1.0000,0.4264,,,,0.0000,0.7778,75,27,ok
CUSUM,rate_decrease,0.9,A,0.0000,0.0000,1.0000,0.9681,,,,0.0000,0.0000,75,75,ok
CUSUM,rate_decrease,0.9,B,0.0000,0.0000,1.0000,0.9189,,,,0.0000,0.0000,0,27,ok
RF,rate_decrease,0.9,A,0.9993,0.9867,1.0000,0.0332,,,,0.0000,0.7778,75,75,ok
RF,rate_decrease,0.9,B,0.6361,0.5556,1.0000,0.4410,,,,0.0000,0.7778,75,27,ok
CUSUM,spike_jitter,0.3,A,0.0000,0.0000,1.0000,0.9681,,,,0.0000,0.0000,75,75,ok
CUSUM,spike_jitter,0.3,B,0.0000,0.0000,1.0000,0.9219,,,,0.0000,0.0000,0,27,ok
RF,spike_jitter,0.3,A,0.9993,0.9867,1.0000,0.0332,,,,0.0000,0.7778,75,75,ok
RF,spike_jitter,0.3,B,0.9889,0.8148,1.0000,0.1807,,,,0.0000,0.7778,75,27,ok
CUSUM,spike_jitter,0.6,A,0.0000,0.0000,1.0000,0.9681,,,,0.0000,0.0000,75,75,ok
CUSUM,spike_jitter,0.6,B,0.0000,0.0000,1.0000,0.9207,,,,0.0000,0.0000,0,27,ok
RF,spike_jitter,0.6,A,0.9993,0.9867,1.0000,0.0332,,,,0.0000,0.7778,75,75,ok
RF,spike_jitter,0.6,B,1.0000,0.9630,1.0000,0.0907,,,,0.0000,0.7778,75,27,ok
CUSUM,spike_jitter,0.9,A,0.0000,0.0000,1.0000,0.9681,,,,0.0000,0.0000,75,75,ok
CUSUM,spike_jitter,0.9,B,0.0000,0.0000,1.0000,0.9099,,,,0.0000,0.0000,0,27,ok
RF,spike_jitter,0.9,A,0.9993,0.9867,1.0000,0.0332,,,,0.0000,0.7778,75,75,ok
RF,spike_jitter,0.9,B,1.0000,1.0000,1.0000,0.0591,,,,0.0000,0.7778,75,27,ok
CUSUM,bandpass_mismatch,0.3,A,0.0000,0.0000,1.0000,0.9681,,,,0.0000,0.0000,75,75,ok
CUSUM,bandpass_mismatch,0.3,B,0.0000,0.0000,1.0000,0.9232,,,,0.0000,0.0000,0,27,ok
RF,bandpass_mismatch,0.3,A,0.9993,0.9867,1.0000,0.0332,,,,0.0000,0.7778,75,75,ok
RF,bandpass_mismatch,0.3,B,0.9722,0.9630,1.0000,0.1830,,,,0.0000,0.7778,75,27,ok
CUSUM,bandpass_mismatch,0.6,A,0.0000,0.0000,1.0000,0.9681,,,,0.0000,0.0000,75,75,ok
CUSUM,bandpass_mismatch,0.6,B,0.0000,0.0000,1.0000,0.9265,,,,0.0000,0.0000,0,27,ok
RF,bandpass_mismatch,0.6,A,0.9993,0.9867,1.0000,0.0332,,,,0.0000,0.7778,75,75,ok
RF,bandpass_mismatch,0.6,B,1.0000,0.9630,1.0000,0.1926,,,,0.0000,0.7778,75,27,ok
CUSUM,bandpass_mismatch,0.9,A,0.0000,0.0000,1.0000,0.9681,,,,0.0000,0.0000,75,75,ok
CUSUM,bandpass_mismatch,0.9,B,0.0000,0.0000,1.0000,0.8841,,,,0.0000,0.0000,0,27,ok
RF,bandpass_mismatch,0.9,A,0.9993,0.9867,1.0000,0.0332,,,,0.0000,0.7778,75,75,ok
RF,bandpass_mismatch,0.9,B,1.0000,0.8889,1.0000,0.2656,,,,0.0000,0.7778,75,27,ok
CUSUM,sample_rate_mismatch,0.3,A,0.0000,0.0000,1.0000,0.9681,,,,0.0000,0.0000,75,75,ok
CUSUM,sample_rate_mismatch,0.3,B,0.0000,0.0000,1.0000,0.9171,,,,0.0000,0.0000,0,27,ok
RF,sample_rate_mismatch,0.3,A,0.9993,0.9867,1.0000,0.0332,,,,0.0000,0.7778,75,75,ok
RF,sample_rate_mismatch,0.3,B,1.0000,0.9259,1.0000,0.1195,,,,0.0000,0.7778,75,27,ok
CUSUM,sample_rate_mismatch,0.6,A,0.0000,0.0000,1.0000,0.9681,,,,0.0000,0.0000,75,75,ok
CUSUM,sample_rate_mismatch,0.6,B,0.0000,0.0000,1.0000,0.9080,,,,0.0000,0.0000,0,27,ok
RF,sample_rate_mismatch,0.6,A,0.9993,0.9867,1.0000,0.0332,,,,0.0000,0.7778,75,75,ok
RF,sample_rate_mismatch,0.6,B,1.0000,1.0000,1.0000,0.0220,,,,0.0000,0.7778,75,27,ok
CUSUM,sample_rate_mismatch,0.9,A,0.0000,0.0000,1.0000,0.9681,,,,0.0000,0.0000,75,75,ok
CUSUM,sample_rate_mismatch,0.9,B,0.0000,0.0000,1.0000,0.8943,,,,0.0000,0.0000,0,27,ok
RF,sample_rate_mismatch,0.9,A,0.9993,0.9867,1.0000,0.0332,,,,0.0000,0.7778,75,75,ok
RF,sample_rate_mismatch,0.9,B,1.0000,1.0000,1.0000,0.0159,,,,0.0000,0.7778,75,27,ok
CUSUM,quantization_change,0.3,A,0.0000,0.0000,1.0000,0.9681,,,,0.0000,0.0000,75,75,ok
CUSUM,quantization_change,0.3,B,0.0000,0.0000,1.0000,0.9264,,,,0.0000,0.0000,0,27,ok
RF,quantization_change,0.3,A,0.9993,0.9867,1.0000,0.0332,,,,0.0000,0.7778,75,75,ok
RF,quantization_change,0.3,B,1.0000,0.8519,1.0000,0.1486,,,,0.0000,0.7778,75,27,ok
CUSUM,quantization_change,0.6,A,0.0000,0.0000,1.0000,0.9681,,,,0.0000,0.0000,75,75,ok
CUSUM,quantization_change,0.6,B,0.0000,0.0000,1.0000,0.9096,,,,0.0000,0.0000,0,27,ok
RF,quantization_change,0.6,A,0.9993,0.9867,1.0000,0.0332,,,,0.0000,0.7778,75,75,ok
RF,quantization_change,0.6,B,1.0000,1.0000,1.0000,0.0570,,,,0.0000,0.7778,75,27,ok
CUSUM,quantization_change,0.9,A,0.0000,0.0000,1.0000,0.9681,,,,0.0000,0.0000,75,75,ok
CUSUM,quantization_change,0.9,B,0.0000,0.0000,1.0000,0.8998,,,,0.0000,0.0000,0,27,ok
RF,quantization_change,0.9,A,0.9993,0.9867,1.0000,0.0332,,,,0.0000,0.7778,75,75,ok
RF,quantization_change,0.9,B,1.0000,1.0000,1.0000,0.0307,,,,0.0000,0.7778,75,27,ok
